,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f22,f23,f24,f25,f26,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,label
0,0.0036034,0.82406,-0.049051,0.8920799999999999,-111.35,0.0,0.008453299999999999,0.21344,0.87744,0.17589000000000002,0.051472,0.018599,0.052434,0.008453299999999999,6537.6,0.05583,1.2135,0.008453299999999999,0.009634,78.767,0.046816,0.0041067,0.018433,0.13635,0.049945,-0.082506,3.7028112417116064,0.8518100000000001,0.058418,194.97,1.8787,1.0361,0.02662,0.90529,0.8317200000000001,0.4357,0.030338,0.19962,0.32557,0.053354999999999986,130.92,52.149,0.01903,0.61625,80.944,0.0092611,0.010555,0.4920000000000001,0.45449,0.5322899999999999,0.29585,0.73287,-247.44,0.030310000000000007,0.020487,0.94317,1.4771,4.6339,6.9992,189.06,1.9306,1.4759,1
1,0.13187,0.68283,0.23528,1.4105,-122.38,0.0,0.13187,0.4645,1.7339,0.31717,0.13187,0.23007,0.077824,0.13187,1847.0,0.19762,1.4645,0.13187,0.076055,125.73,0.0,0.076055,0.29153,0.23152,0.19762,1.2283,2.571311241711606,0.39341,0.16899999999999998,163.77,2.2288,1.8709,1.9321e-06,1.7339,1.9259,0.42682,1.1143e-06,0.12542,7.4198,0.0,155.05,29.32,0.22079,0.36843,170.65,-0.0030676,-0.0017692,1.1840000000000002,0.57318,0.44868,1.6558,2.2283,87.67439999999998,0.26324000000000003,0.41577,0.7367600000000001,0.34571,2.903,12.449000000000002,120.66,3.0251,9.052,0
2,0.28952,0.90256,0.087251,1.0967,10.167,-0.56967,0.28952,0.10796,3.2873,0.09744,0.28952,0.32077,0.10214,0.28952,981.14,0.37201,1.108,0.28952,0.08807000000000001,0.0,0.28951,0.08807000000000001,0.5885699999999999,-0.27524,0.37201,8.5633,1.507811241711606,-0.0030496,0.08807000000000001,109.89,3.3215,3.3215,0.28952,3.2873,0.52815,0.09744,0.08807000000000001,1.0154,0.089604,0.088068,8.1426,8.1426,0.26195,1.0967,0.0,0.24326,0.073999,1.0967,0.90256,0.30107,9.5633,9.5633,2.80944,0.088068,2.9712,0.91193,0.0,10.053,44.826,100.21,3.6422,322.64,0
3,-0.14520999999999998,0.053488,0.68893,13.88,107.67,0.66483,-0.14520999999999998,17.695999999999994,1.6664,0.94651,0.041496,-2.7148,-0.049472,-0.14520999999999998,-236.82,-1.5413,18.696,-0.14520999999999998,-0.087142,31.366,-0.13083,-0.087142,0.16021,0.79094,-1.5413,2.6745,2.045611241711606,-0.23449,-0.087142,10.557,34.573,34.573,-0.18284,1.6664,0.026645,0.94651,-0.10973,8.5191,-0.026198000000000003,-0.07851,62.808,31.442,-1.014,11.203,28.265,-0.1936,-0.11618,13.88,0.053488,0.028924,3.6745,3.6745,76.524,-0.10973,-0.15342,1.0767,0.0,11.637,11.609000000000002,11.716,31.154,6.4692,0
4,0.033186,0.42047,0.54382,2.2933,38.452,0.0,0.062227,1.3783,5.0424,0.57953,0.08819099999999999,0.14799,0.018679,0.062227,1629.4,0.22401,2.3783,0.062227,0.012341,0.0,0.087918,0.0065813,0.32606,0.15803,0.15494000000000002,15.228,2.232511241711606,-0.002109,0.012474,31.109,11.733,11.733,0.10899,5.0424,2.5706,0.57953,0.021615,1.0735,0.11691,0.017436,37.126,37.126,0.26195,2.2933,0.0,0.055955999999999985,0.011097,2.2933,0.42047,0.08523,16.229,16.229,92.8944,0.021615,0.057263,0.98766,0.0,10.053,9.8313,30.436,11.992,141.2,0
5,-0.14703,0.46561,0.057074,1.1882,-46.024,-0.12423,-0.13749,1.1477,1.0397,0.5343899999999999,-0.11488,-0.45327,0.0020866,-0.13749,78338.0,0.004659300000000001,2.1477,-0.13749,-0.13224,63.358,-0.13066,-0.14140999999999998,0.02227,0.07699099999999999,-0.015832,0.089233,3.3220112417116066,0.4476,-0.11875,96.147,3.7963,2.4731,-0.1118,1.0397,2.0152,0.62367,-0.10753,0.020395,1.725,-0.12567,124.35,60.99100000000001,-0.81466,0.59316,57.207,-0.27032,-0.25999,0.77404,0.30333000000000004,0.26342,0.8355100000000001,0.9751,119.7888,-0.10753,-0.27513000000000004,1.1252,0.16708,5.7609,5.9845,106.48,3.4277,1.6256,0
6,0.050321,0.7308899999999999,0.23135,1.7728,32.262,0.0,0.063917,0.36819,1.6986,0.26911,0.092297,0.21352,0.052426,0.063917,2995.9,0.12183,1.3682,0.063917,0.03763,17.908,0.092296,0.029626,0.20299,0.25424,0.10323,0.49295,3.3840112417116064,0.35842,0.052091,67.783,5.3848,2.2054,0.086643,1.6986,1.5821,0.55186,0.05101,0.42728,0.20747,0.054338,86.554,68.645,0.6038100000000001,1.4944,18.871,0.067165,0.039542,0.72609,0.29935,0.18571,0.5734100000000001,1.1759,560.064,0.05101,0.18699,0.96251,1.0507,20.381,5.3172,64.325,5.6743,3.6193,0
7,0.10302,0.072537,0.67774,10.779000000000002,268.88,0.26713000000000003,0.13091,12.214,1.1887,0.8859899999999999,0.13091,1.8888,0.22515,0.13091,150.13,2.4312,13.786,0.13091,0.16713,91.443,0.1258,0.13153,0.30181,0.8859899999999999,2.0467,2.6793,4.003311241711606,-0.30212,0.16713,38.391,9.5074,1.7342,0.1258,0.8144600000000001,170.48,0.8892200000000001,0.1606,4.7974,0.013927000000000002,0.1606,193.18,101.74,0.525,7.9476,108.7,0.080353,0.10259,10.299,0.06930599999999999,0.10518,3.5026,3.5154,6829.6799999999985,0.15875,0.11628,0.84125,0.0036466,3.9916,3.5876,32.296,11.302,3.0965,0
8,0.03228,0.65008,0.20297,1.7499,44.885,0.0,0.041392,0.53828,1.3994,0.34992,0.042409,0.15292999999999998,0.048296,0.041392,3510.8,0.10397,1.5383,0.041392,0.029578,8.0359,0.040772,0.023067,0.13044,0.22464,0.089948,0.3856,2.592011241711606,0.44133,0.029601,71.908,5.0759,2.1134,0.025524,1.3994,1.8207,0.59314,0.018239,0.13525,0.32359,0.029136,113.99,105.95,1.0477,1.636,8.1852,0.014578,0.010418,0.72858,0.27067,0.19701,0.66479,1.1269,79.32,0.018239,0.092248,0.97077,0.69507,45.42100000000001,3.445,70.597,5.1702,2.6586,0
9,0.0063006,0.53809,0.17892,1.4088,7.9612,-0.016174,0.029924,0.8584200000000001,2.8684,0.46191,0.032785,0.06837,0.03806,0.029924,1799.0,0.20289,1.8584,0.029924,0.010432,14.547,0.032114,0.0021965,0.45712,0.43355,0.15899000000000002,0.46667,2.635111241711606,0.16262,0.011429,55.51600000000001,6.5746,5.3478,-0.009150299999999998,2.8684,57.524,0.46191,-0.00319,0.16985999999999998,0.16105999999999998,0.011196,69.0,54.453,0.055113,1.1476,14.501,-0.047135,-0.016432,1.1459,0.43768,0.1521,1.2048,1.2048,77.22479999999999,-0.00319,0.01364,0.98975,0.0,25.091,6.7029999999999985,55.694,6.5537,7.4816,0
