sex,age,educ,hours,income_more_50K
 Male,39,13,40,0
 Male,50,13,13,0
 Male,38,9,40,0
 Male,53,7,40,0
 Female,28,13,40,0
 Female,37,14,40,0
 Female,49,5,16,0
 Male,52,9,45,1
 Female,31,14,50,1
 Male,42,13,40,1
 Male,37,10,80,1
 Male,30,13,40,1
 Female,23,13,30,0
 Male,32,12,50,0
 Male,40,11,40,1
 Male,34,4,45,0
 Male,25,9,35,0
 Male,32,9,40,0
 Male,38,7,50,0
 Female,43,14,45,1
 Male,40,16,60,1
 Female,54,9,20,0
 Male,35,5,40,0
 Male,43,7,40,0
 Female,59,9,40,0
 Male,56,13,40,1
 Male,19,9,40,0
 Male,54,10,60,1
 Male,39,9,80,0
 Male,49,9,40,0
 Male,23,12,52,0
 Male,20,10,44,0
 Male,45,13,40,0
 Male,30,10,40,0
 Male,22,10,15,0
 Male,48,7,40,0
 Male,21,10,40,0
 Female,19,9,25,0
 Male,31,10,38,1
 Male,48,12,40,0
 Male,31,5,43,0
 Male,53,13,40,0
 Male,24,13,50,0
 Female,49,9,40,0
 Male,25,9,35,0
 Male,57,13,40,1
 Male,53,9,38,0
 Female,44,14,40,0
 Male,41,11,40,0
 Male,29,11,43,0
 Female,25,10,40,0
 Female,18,9,30,0
 Female,47,15,60,1
 Male,50,13,55,1
 Male,47,9,60,0
 Male,43,10,40,1
 Male,46,3,40,0
 Male,35,11,40,0
 Male,41,9,48,0
 Male,30,9,40,0
 Male,30,13,40,0
 Male,32,4,40,0
 Male,48,9,40,0
 Male,42,16,45,1
 Male,29,10,58,0
 Male,36,9,40,0
 Female,28,10,40,0
 Female,53,9,40,1
 Male,49,10,50,1
 Male,25,10,40,0
 Male,19,10,32,0
 Female,31,13,40,0
 Male,29,13,70,1
 Male,23,10,40,0
 Male,79,10,20,0
 Male,27,9,40,0
 Male,40,12,40,0
 Male,67,6,2,0
 Female,18,7,22,0
 Male,31,4,40,0
 Male,18,9,30,0
 Male,52,13,40,0
 Female,46,9,40,0
 Male,59,9,48,0
 Female,44,9,40,1
 Female,53,9,35,0
 Male,49,9,40,1
 Male,33,14,50,0
 Male,30,5,40,0
 Female,43,16,50,1
 Male,57,11,40,0
 Female,37,10,40,0
 Female,28,10,25,0
 Female,30,9,35,0
 Male,34,13,40,1
 Male,29,10,50,0
 Male,48,16,60,1
 Male,37,10,48,1
 Female,48,12,40,0
 Male,32,9,40,0
 Male,76,14,40,1
 Male,44,13,60,1
 Female,47,14,50,0
 Female,20,10,40,0
 Male,29,9,40,0
 Male,32,9,40,1
 Female,17,6,32,0
 Male,30,7,40,0
 Female,31,9,40,0
